"MimosaID","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice"
"NE1019X064703","2021-04-17","Terrain/bureau OIM","High","High","No","Pire","Partiellement","Satisfait","Ghana","Algerie","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Oui","Autre","1+","Oui","Oui"
"NE1019X029757","2021-04-17","Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"Non","En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui"
"CH5018X0008555","2021-04-17","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",2,"Oui","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui"
NA,"2021-04-17","Terrain/bureau OIM","Low","Low","Yes","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",4,"Non","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui"
"LY1018004053","2021-04-01","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui"
"LY1018003661","2021-04-01","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",5,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Non"
"LY1018004055","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui"
"NE1019X021151X1","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36+",2,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui"
"NE1019X021151X2","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","36+",2,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui"
"CH5017X019519","2021-04-19","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Non","Autre","1+","Oui","Oui"
"NE1019X066729","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui"
"NE1019X028010","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"Non","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui"
"CH5017X032499","2021-04-02","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui"
"GHTH08485","2021-04-02","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",6,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui"
"CH5017X032550","2021-04-05","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",6,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui"
"LY1020004376","2021-04-20","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui"
"CH5017X032467","2021-04-02","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui"
"CH5018X008525","2021-04-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui"
"CH5017X032505","2021-04-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",2,"Non","En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui"
"CH5017X032541","2021-04-06","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",4,"Non","En nature","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui"
"CH5017X032477","2021-04-06","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","En nature","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui"
"CH5017X032540","2021-04-06","Par téléphone","High","High","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",4,"Non","En nature","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui"
"NE1020X003751X1","2021-07-23","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",1,"Non","Mixte","Autre","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019001331","2021-05-20","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Ghana","Niger","Masculin","14-35",3,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui"
"NE1019X001403","2021-05-20","Terrain/bureau OIM","High","Low","No","Mieux","Oui","Satisfait","Ghana","Niger","Masculin","14-35",3,"Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Non"
"CH5018X008561","2021-04-23","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36+",8,"Oui","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui"
"NE1019X018102X1","2021-05-27","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Burkina Faso","Niger","Masculin","14-35",0,"Non","En nature","Elevage","Moi uniquement","Oui","Non","0","Oui","Oui"
"CH5017X008663","2021-05-28","Terrain/bureau OIM","Low","Low","No","Identique","Non","Pas satisfait","Burkina Faso","Lybie","Masculin","36+",2,"Non","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X03921010X1","2021-05-28","Terrain/bureau OIM","Low","Low","No","Identique","Non","Pas du tout satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"Oui","En nature","Elevage","Moi uniquement","Oui","Non","0","Non","Non"
"CH5018X008599","2021-06-01","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",5,"Non","En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui"
"CH5018X008598","2021-06-01","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui"
"CH5018X008597","2021-06-01","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",4,"Non","En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui"
"CH5018X008596","2021-06-01","Par téléphone","High","Low","No","Mieux","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui"
"MA1020003407","2021-05-25","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Féminin","14-35",4,"Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui"
"TN1020001021","2021-05-25","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","14-35",3,"Non","En espèces","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Non","Oui"
"TN1019001296","2021-05-25","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NF1019X028910","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","36+",2,"Non","En nature","Autre","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X01594","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",0,"Non","En espèces","Commerce","Moi uniquement","Non","Autre","1","Non","Oui"
"MA1019002459","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",0,"Non","En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui"
"CH5020X005170","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",5,"Non","En espèces","Transport","Moi uniquement","Non","Autre","1","Non","Oui"
"DZ1020001804","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","14-35",4,"Non","En espèces","Autre","Moi uniquement","Non","Autre","1+","Non","Oui"
"MA1020003024","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",2,"Non","En espèces","Transport","Moi uniquement","Non","Non","0","Non","Oui"
"TN1019001676","2021-05-27","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","14-35",2,"Non","En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui"
"CH5020X005117","2021-05-28","Terrain/bureau OIM","High","Low","Yes","Pire","Oui","OK","Côte D'Ivoire","Maroc","Masculin","14-35",1,"Non","En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui"
NA,"2021-05-28","Terrain/bureau OIM","Low","Low","Yes","Pire","Non","Satisfait","Côte D'Ivoire","Niger","Masculin","14-35",1,"Non","En espèces","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui"
"NE1019X000162","2021-05-29","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",1,"Non","En espèces","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui"
"TN1018001494","2021-05-30","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","36+",5,"Non","En espèces","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X021378","2021-05-30","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",3,"Non","En espèces","Autre","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X003170","2021-05-30","Terrain/bureau OIM","Low","Low","No","Identique","Oui","OK","Côte D'Ivoire","Niger","Masculin","36+",3,"Non","En espèces","Agriculture/aviculture","Moi uniquement","Non","Autre","0","Non","Oui"
"CH5018X021549","2021-05-30","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","14-35",2,"Non","En espèces","Autre","Moi uniquement","Non","Autre","1","Non","Oui"
"NE1019001195","2021-05-30","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",3,"Non","En espèces","Autre","Moi uniquement","Oui","Non","0","Non","Oui"
"MA1020003635","2021-05-30","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",1,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"ML1020003717","2021-05-30","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","14-35",1,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X001268","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",0,"Non","En espèces","Agriculture/aviculture","Moi uniquement","Non","Non","0","Non","Oui"
"TN1019001597","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","36+",10,"Non","En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui"
"NE1020X001331","2021-05-31","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1020003081","2021-05-31","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",3,"Non","En espèces","Elevage","Moi uniquement","Non","Autre","1","Non","Oui"
"MA1019001113","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","14-35",3,"Non","En espèces","Autre","Moi uniquement","Non","Autre","1","Non","Oui"
"MA1020003321","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X015786","2021-05-31","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",0,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1020X012761","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","36+",0,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1020003244","2021-05-31","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"DZ1020002616","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020007575","2021-06-04","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui"
"CH5019X030870","2021-06-08","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X066159","2021-06-05","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"CH5019X030876","2021-06-07","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","14-35",11,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020004207","2021-06-06","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Autre","Lybie","Masculin","14-35",2,"Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X003127","2021-06-09","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",2,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui"
"CH5017X019608","2021-06-07","Par téléphone","High","High","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"Non","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"LY2010004157","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Autre","Masculin","36+",8,"Non","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020004217","2021-06-07","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"Non","En nature","Autre","Moi uniquement","Non","Autre","1","Non","Oui"
"LY1018002858","2021-06-08","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",2,"Non","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
NA,"2021-06-09","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36+",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui"
"LY1020004159","2021-06-09","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",5,"Non","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020004371","2021-06-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",0,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020004286","2021-06-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",14,"Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui"
"LY1017002221","2021-06-09","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X037502","2021-06-10","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",2,"Non","En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui"
"NE101X9X027822","2021-06-11","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"Non","En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui"
"NE1019X067176","2021-06-11","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","14-35",1,"Non","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui"
"CH5018X012666","2021-06-11","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",2,"Non","En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui"
"TN1020001938","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","14-35",4,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"CH5017X039666X1","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","36+",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
NA,"2021-06-09","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","36+",3,"Non","En espèces","Autre","Moi uniquement","Non","Autre","1","Non","Oui"
"DZ1020002637","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","14-35",6,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"SN1018245DB1BC066E","2021-06-09","Par téléphone","High","Low","Yes","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
NA,"2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","36+",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1020002758","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Autre","1","Non","Oui"
"ML1019X003475X1","2021-06-09","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","14-35",4,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1019A3AB8D76FEE7","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",3,"Non","En espèces","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Non","Oui"
"MA102043328ABFFCFF","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",4,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"TN1019F97D6A415218","2021-06-10","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","14-35",5,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X023995X1","2021-06-10","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",0,"Non","En espèces","Transport","Moi uniquement","Non","Non","0","Non","Oui"
"LY1018F74C3D2E8794","2021-06-10","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","14-35",1,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1021001025","2021-06-10","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","36+",2,"Non","En espèces","Autre","Moi uniquement","Non","Non","0","Non","Oui"
"MA1020003607","2021-06-10","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","14-35",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"MA1020003605","2021-06-10","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","36+",2,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X041410X1","2021-06-10","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",1,"Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"CH5017X031078X1","2021-06-10","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","14-35",1,"Non","En espèces","Agriculture/aviculture","Moi uniquement","Oui","Autre","1","Non","Oui"
"CH5017X032514","2021-06-12","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",5,"Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Non","Oui"
"LY1020001600","2021-06-15","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",7,"Oui","En nature","Autre","Moi uniquement","Non","Autre","1","Non","Oui"
"CH5019X030865X1","2021-06-15","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui"
"NE1019X059476X1","2021-06-15","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",6,"Non","En nature","Transport","Moi uniquement","Non","Autre","1","Non","Oui"
"CH5018X008553X1","2021-06-16","Par téléphone","High","High","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",1,"Non","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui"
"NE1020X007689","2021-06-16","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36+",0,"Non","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui"
"NE1019X061376","2021-06-16","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020004189","2021-06-16","Par téléphone","High","High","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",3,"Non","En nature","Autre","Moi uniquement","Non","Non","0","Non","Oui"
"LY1020004161","2021-06-16","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",6,"Non","En nature","Autre","Moi uniquement","Non","Non","0","Non","Oui"
