"","Code Mimosa Corrigé","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","10_housing","11_housing_qual","12_education","13_school","14_justice","15_id","16_documentation","17_water","18_health","19_health_qual","21_socialize","22_network","23_community","24_safety","25_family_conflict","26_discrimination","27_distress","28_psy_support","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","10_housing_n","11_housing_qual_n","12_education_n","13_school_n","14_justice_n","15_id_n","16_documentation_n","17_water_n","18_health_n","19_health_qual_n","20_services_construct_n","21_socialize_n","22_network_n","23_community_n","24_safety_n","25_family_conflict_n","26_discrimination_n","27_distress_n","28_psy_support_n","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","10_housing_dim_weight","10_housing_comp_weight","11_housing_qual_dim_weight","11_housing_qual_comp_weight","12_education_dim_weight","12_education_comp_weight","13_school_dim_weight","13_school_comp_weight","14_justice_dim_weight","14_justice_comp_weight","15_id_dim_weight","15_id_comp_weight","16_documentation_dim_weight","16_documentation_comp_weight","17_water_dim_weight","17_water_comp_weight","18_health_dim_weight","18_health_comp_weight","19_health_qual_dim_weight","19_health_qual_comp_weight","20_services_construct_dim_weight","20_services_construct_comp_weight","21_socialize_dim_weight","21_socialize_comp_weight","22_network_dim_weight","22_network_comp_weight","23_community_dim_weight","23_community_comp_weight","24_safety_dim_weight","24_safety_comp_weight","25_family_conflict_dim_weight","25_family_conflict_comp_weight","26_discrimination_dim_weight","26_discrimination_comp_weight","27_distress_dim_weight","27_distress_comp_weight","28_psy_support_dim_weight","28_psy_support_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","10_housing_dim_score","10_housing_comp_score","11_housing_qual_dim_score","11_housing_qual_comp_score","12_education_dim_score","12_education_comp_score","13_school_dim_score","13_school_comp_score","14_justice_dim_score","14_justice_comp_score","15_id_dim_score","15_id_comp_score","16_documentation_dim_score","16_documentation_comp_score","17_water_dim_score","17_water_comp_score","18_health_dim_score","18_health_comp_score","19_health_qual_dim_score","19_health_qual_comp_score","20_services_construct_dim_score","20_services_construct_comp_score","21_socialize_dim_score","21_socialize_comp_score","22_network_dim_score","22_network_comp_score","23_community_dim_score","23_community_comp_score","24_safety_dim_score","24_safety_comp_score","25_family_conflict_dim_score","25_family_conflict_comp_score","26_discrimination_dim_score","26_discrimination_comp_score","27_distress_dim_score","27_distress_comp_score","28_psy_support_dim_score","28_psy_support_comp_score","EconomicScore","SocialScore"
"291","NE1022001363","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Bien","Non","Aucun actif détenu","Non","Acceptable","Acceptable","Acceptable","Non - quelques uns mais pas tous","Acceptable","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Rarement( Une fois le mois ou pas tous les mois)","Correct","je suis un peu d'accord","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.75,1,0.5,1,0.75,0,0,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0,0.75,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.05,0.01,0.08,0.04,0.0975,0.0225,0,0,0,0,0.13,0.03,0.05,0.015,0.06,0.015,0.055,0.015,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.04,0.02,0.03,0.01,0.025,0.015,0.1125,0.03,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.64,0.525
"292","NE1022001364","Satisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Aucun actif détenu","Non","Acceptable","Acceptable","Acceptable","Non - quelques uns mais pas tous","Acceptable","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Souvent( au moins une fois la semaine)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.5,1,0.75,1,0.5,0,0,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,1,0,0.75,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.06,0.04,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0,0,0.13,0.03,0.05,0.015,0.06,0.015,0.055,0.015,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.04,0.02,0.09,0.03,0.025,0.015,0.15,0.04,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.6025,0.525
"293","NE1022001365","Satisafait","Souvent( au moins une fois la semaine)","Oui","Jamais","Les dépenses sont plus importantes","Acceptable","Non","Aucun actif détenu","Oui","Acceptable","Acceptable","Acceptable","Non - quelques uns mais pas tous","Acceptable","Oui","Acceptable","Acceptable","Acceptable","Bien","Souvent( au moins une fois la semaine)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.25,1,1,1,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.75,0.5,0.75,0.5,1,0,0.75,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.1,0.02,0.08,0.04,0.065,0.015,0,0,0,0,0,0,0.05,0.015,0.06,0.015,0.055,0.015,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.1125,0.0225,0.04,0.02,0.09,0.03,0.025,0.015,0.15,0.04,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.4675,0.5625
"294","NE1022001366","Satisafait","Souvent( au moins une fois la semaine)","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Bien","Non","Aucun actif détenu","Non","Acceptable","Acceptable","Acceptable","Non - quelques uns mais pas tous","Acceptable","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Souvent( au moins une fois la semaine)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Souvent( au moins une fois la semaine)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.25,0,0.75,1,0.75,0,0,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,1,0,0.25,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0,0,0.075,0.015,0.08,0.04,0.0975,0.0225,0,0,0,0,0.13,0.03,0.05,0.015,0.06,0.015,0.055,0.015,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.04,0.02,0.09,0.03,0.025,0.015,0.15,0.04,0,0,0.03,0.0025,0.11,0,0.075,0.03,0.1,0.03,0.525,0.525
"295","NE1022001368","Satisafait","Souvent( au moins une fois la semaine)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Aucun actif détenu","Non","Acceptable","Acceptable","Acceptable","Non - quelques uns mais pas tous","Acceptable","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Souvent( au moins une fois la semaine)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.25,1,0.75,1,0.5,0,0,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.75,0.75,1,0,0.75,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0,0,0.13,0.03,0.05,0.015,0.06,0.015,0.055,0.015,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.04,0.02,0.09,0.03,0.0375,0.0225,0.15,0.04,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.5725,0.525
"296","Ly1021004069","Satisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Actifs reçus de l'OIM","Non","Très bien","Acceptable","Faible","Non","Bien","Oui","Bien","Acceptable","Bien","Bien","Rarement( Une fois le mois ou pas tous les mois)","Bien","je suis un peu d'accord","Je me sens en sécurité la plupart du temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Jamais","Non",0.75,0.5,1,0.5,1,0.5,1,1,1,1,0.5,0.25,0,0.75,1,0.75,0.5,0.75,0.75,0.666666666666667,0.25,0.75,0.75,0.75,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.06,0.04,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.06,0.015,0.0275,0.0075,0,0,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0533333333333333,0.0266666666666667,0.03,0.01,0.0375,0.0225,0.1125,0.03,0.075,0.0375,0.09,0.0075,0.11,0,0.1,0.04,0.1,0.03,0.7875,0.643333333333333
"297","Ly1021004055","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Actifs reçus de l'OIM","Non","Acceptable","Acceptable","Acceptable","Oui","Bien","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Jamais","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Neutre","Jamais","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.75,1,0.5,1,0.5,1,1,1,0.5,0.5,0.5,1,0.75,1,0.5,0.5,0.5,0.5,0.541666666666667,0,0.5,1,0.5,1,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.055,0.015,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.0433333333333333,0.0216666666666667,0,0,0.025,0.015,0.15,0.04,0.05,0.025,0.12,0.01,0.11,0,0.075,0.03,0.1,0.03,0.8175,0.593333333333333
"298","Ly1021004066","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Actifs reçus de l'OIM","Non","Acceptable","Très faible","Faible","Oui","Bien","Oui","Acceptable","Acceptable","Bien","Bien","Souvent( au moins une fois la semaine)","Correct","je suis un peu d'accord","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Je ne sait pas",0.75,0.75,1,0.25,1,0.5,1,1,1,0.5,0,0.25,1,0.75,1,0.5,0.5,0.75,0.75,0.541666666666667,0.75,0.5,0.75,0.75,1,1,1,0.5,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.025,0.005,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0,0,0.0275,0.0075,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0433333333333333,0.0216666666666667,0.09,0.03,0.025,0.015,0.1125,0.03,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.05,0.015,0.7925,0.593333333333333
"299","Ly1021002503","Neutre","Des fois ( 2 ou 3 fois le mois)","Non","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Actifs reçus de l'OIM","Non","Acceptable","Très faible","Faible","Non","Bien","Oui","Acceptable","Très faible","Bien","Acceptable","Des fois ( 2 ou 3 fois le mois)","Bien","je ne suis pas d'accord ou pas d'accord","Neutre","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Souvent( au moins une fois la semaine)","Je ne sait pas",0.5,0.5,0,0.5,1,0.5,1,1,1,0.5,0,0.25,0,0.75,1,0.5,0,0.75,0.5,0.458333333333333,0.5,0.75,0.5,0.5,0.75,1,0.25,0.5,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.075,0.025,0.06,0.04,0,0,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0,0,0.0275,0.0075,0,0,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.075,0.015,0.0366666666666667,0.0183333333333333,0.06,0.02,0.0375,0.0225,0.075,0.02,0.05,0.025,0.09,0.0075,0.11,0,0.025,0.01,0.05,0.015,0.67,0.479166666666667
"300","LY1021004050","Satisafait","Souvent( au moins une fois la semaine)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Actifs reçus de l'OIM","Non","Acceptable","Acceptable","Bien","Non","Bien","Oui","Bien","Bien","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non",0.75,0.25,1,0.5,1,0.5,1,1,1,0.5,0.5,0.75,0,0.75,1,0.75,0.75,0.75,0.75,0.708333333333333,1,0.75,1,0.75,1,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.0825,0.0225,0,0,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0566666666666667,0.0283333333333333,0.12,0.04,0.0375,0.0225,0.15,0.04,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.7575,0.651666666666667
"301","LY1021004058","Satisafait","Souvent( au moins une fois la semaine)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Actifs reçus de l'OIM","Non","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Bien","Acceptable","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je ne me sens pas en sécurité la plupart du temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.25,1,0.5,1,0.5,1,1,1,0.5,0.5,0.75,1,0.75,1,0.75,0.5,0.75,0.75,0.666666666666667,1,0.75,1,0.25,0.75,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0533333333333333,0.0266666666666667,0.12,0.04,0.0375,0.0225,0.15,0.04,0.025,0.0125,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.7575,0.718333333333333
"302","LY1021010876","Satisafait","Souvent( au moins une fois la semaine)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Bien","Oui","Actifs reçus de l'OIM","Non","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Bien","Bien","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je ne me sens pas en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non",0.75,0.25,1,0.75,1,0.75,1,1,1,0.5,0.5,0.75,1,0.75,1,0.75,0.75,0.75,0.75,0.708333333333333,1,0.75,1,0.25,1,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.075,0.015,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0566666666666667,0.0283333333333333,0.12,0.04,0.0375,0.0225,0.15,0.04,0.025,0.0125,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.815,0.721666666666667
"303","LY1021010731","Satisafait","Souvent( au moins une fois la semaine)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Acceptable","Non","Bétails Actifs reçus de l'OIM","Oui","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Bien","Bien","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non",0.75,0.25,1,0.25,1,0.5,0,1,0,0.5,0.5,0.75,1,0.75,1,0.75,0.75,0.75,0.75,0.708333333333333,1,0.75,1,0.75,1,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.025,0.005,0.08,0.04,0.065,0.015,0,0,0.11,0.03,0,0,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0566666666666667,0.0283333333333333,0.12,0.04,0.0375,0.0225,0.15,0.04,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.5025,0.721666666666667
"304","LY1022004056","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Bien","Oui","Bétails Actifs reçus de l'OIM","Oui","Acceptable","Acceptable","Acceptable","Non","Acceptable","Oui","Très bien","Très bien","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Tres bon - un très fort réseau","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.75,1,0.25,1,0.75,1,1,0,0.5,0.5,0.5,0,0.5,1,1,1,0.75,0.75,0.708333333333333,1,1,1,1,0.75,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.025,0.005,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0,0,0.05,0.015,0.06,0.015,0.055,0.015,0,0,0.06,0.02,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0566666666666667,0.0283333333333333,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.695,0.594166666666667
"305","LY1021004051","Satisafait","Souvent( au moins une fois la semaine)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Actifs reçus de l'OIM","Oui","Acceptable","Acceptable","Très bien","Non","Acceptable","Oui","Bien","Acceptable","Bien","Très bien","Rarement( Une fois le mois ou pas tous les mois)","Tres bon - un très fort réseau","je suis un peu d'accord","Je ne me sens pas en sécurité la plupart du temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non",0.75,0.25,1,0.75,1,0.5,1,1,0,0.5,0.5,1,0,0.5,1,0.75,0.5,0.75,1,0.666666666666667,0.25,1,0.75,0.25,0.75,1,0.75,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.05,0.015,0.06,0.015,0.11,0.03,0,0,0.06,0.02,0.05,0.05,0,0,0,0,0.15,0.045,0.15,0.03,0.0533333333333333,0.0266666666666667,0.03,0.01,0.05,0.03,0.1125,0.03,0.025,0.0125,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.6525,0.683333333333333
