"","ID","interview_date","sex","age","migration_duration","return_country","origin_country","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","10_housing","11_housing_qual","12_education","13_school","14_justice","15_id","16_documentation","17_water","18_health","19_health_qual","21_socialize","22_network","23_community","24_safety","25_family_conflict","26_discrimination","27_distress","28_psy_support","29_able_to_stay","30_wish_vs_need_leave","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","10_housing_n","11_housing_qual_n","12_education_n","13_school_n","14_justice_n","15_id_n","16_documentation_n","17_water_n","18_health_n","19_health_qual_n","20_services_construct_n","21_socialize_n","22_network_n","23_community_n","24_safety_n","25_family_conflict_n","26_discrimination_n","27_distress_n","28_psy_support_n","29_able_to_stay_n","30_wish_vs_need_leave_n","29_30_remigration_construct","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","10_housing_dim_weight","10_housing_comp_weight","11_housing_qual_dim_weight","11_housing_qual_comp_weight","12_education_dim_weight","12_education_comp_weight","13_school_dim_weight","13_school_comp_weight","14_justice_dim_weight","14_justice_comp_weight","15_id_dim_weight","15_id_comp_weight","16_documentation_dim_weight","16_documentation_comp_weight","17_water_dim_weight","17_water_comp_weight","18_health_dim_weight","18_health_comp_weight","19_health_qual_dim_weight","19_health_qual_comp_weight","20_services_construct_dim_weight","20_services_construct_comp_weight","21_socialize_dim_weight","21_socialize_comp_weight","22_network_dim_weight","22_network_comp_weight","23_community_dim_weight","23_community_comp_weight","24_safety_dim_weight","24_safety_comp_weight","25_family_conflict_dim_weight","25_family_conflict_comp_weight","26_discrimination_dim_weight","26_discrimination_comp_weight","27_distress_dim_weight","27_distress_comp_weight","28_psy_support_dim_weight","28_psy_support_comp_weight","29_30_remigration_construct_dim_weight","29_30_remigration_construct_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","10_housing_dim_score","10_housing_comp_score","11_housing_qual_dim_score","11_housing_qual_comp_score","12_education_dim_score","12_education_comp_score","13_school_dim_score","13_school_comp_score","14_justice_dim_score","14_justice_comp_score","15_id_dim_score","15_id_comp_score","16_documentation_dim_score","16_documentation_comp_score","17_water_dim_score","17_water_comp_score","18_health_dim_score","18_health_comp_score","19_health_qual_dim_score","19_health_qual_comp_score","20_services_construct_dim_score","20_services_construct_comp_score","21_socialize_dim_score","21_socialize_comp_score","22_network_dim_score","22_network_comp_score","23_community_dim_score","23_community_comp_score","24_safety_dim_score","24_safety_comp_score","25_family_conflict_dim_score","25_family_conflict_comp_score","26_discrimination_dim_score","26_discrimination_comp_score","27_distress_dim_score","27_distress_comp_score","28_psy_support_dim_score","28_psy_support_comp_score","29_30_remigration_construct_dim_score","29_30_remigration_construct_comp_score","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore"
"225","CH5021X012298","2022-11-05","Homme","40","29","Tchad","Niger","Très satisfait","Souvent( au moins une fois la semaine)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Bien","Oui","Terre Actifs reçus de l'OIM","Oui","Acceptable","Bien","Bien","Oui","Bien","Oui","Très bien","Acceptable","Acceptable","Acceptable","Souvent( au moins une fois la semaine)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non","Oui",NA,1,0.25,1,0.25,1,0.75,1,1,0,0.5,0.75,0.75,1,0.75,1,1,0.5,0.5,0.5,0.666666666666667,0.75,0.75,1,0.75,1,1,1,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.15,0.05,0.03,0.02,0.08,0.02,0.025,0.005,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0,0,0.05,0.015,0.09,0.0225,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.0533333333333333,0.0266666666666667,0.09,0.03,0.0375,0.0225,0.15,0.04,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.6725,0.660833333333333,0.9325,0.759166666666667
"226","CH5021X012290","2022-11-05","Homme","45","24","Tchad","Niger","Satisafait","Souvent( au moins une fois la semaine)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Bien","Oui","Bétails Actifs reçus de l'OIM","Non","Bien","Acceptable","Bien","Oui","Très bien","Oui","Bien","Bien","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Tres bon - un très fort réseau","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non","Oui",NA,0.75,0.25,1,0.75,1,0.75,1,1,1,0.75,0.5,0.75,1,1,1,0.75,0.75,0.75,0.75,0.791666666666667,1,1,1,0.75,1,1,1,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.03,0.02,0.08,0.02,0.075,0.015,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.0225,0.06,0.015,0.0825,0.0225,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0633333333333333,0.0316666666666667,0.12,0.04,0.05,0.03,0.15,0.04,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.815,0.783333333333333,0.975,0.841666666666667
"227","CH5021X012271","2022-11-05","Femme","28","5","Tchad","Niger","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Bien","Non","Terre Bétails Actifs reçus de l'OIM","Oui","Bien","Bien","Très bien","Oui","Acceptable","Oui","Très bien","Acceptable","Très bien","Très bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Tres bon - un très fort réseau","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non","Oui",NA,0.75,0.75,1,0.75,1,0.75,0,1,0,0.75,0.75,1,1,0.5,1,1,0.5,1,1,0.791666666666667,1,1,1,1,0.75,1,0.75,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0975,0.0225,0,0,0.11,0.03,0,0,0.075,0.0225,0.09,0.0225,0.11,0.03,0.07,0.02,0.06,0.02,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.0633333333333333,0.0316666666666667,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.15,0.1,0.645,0.868333333333333,0.945,0.839166666666667
"228","CH5021X012277","2022-11-05","Femme","35","11","Tchad","Niger","Insatisfait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Bien","Oui","Bétails Actifs reçus de l'OIM","Oui","Bien","Bien","Bien","Oui","Très bien","Oui","Bien","Faible","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Des fois ( 2 ou 3 fois le mois)","Jamais discriminé","Jamais","Oui","Oui",NA,0.25,0,1,0.5,1,0.75,1,1,0,0.75,0.75,0.75,1,1,1,0.75,0.25,0.75,0.75,0.708333333333333,1,0.75,1,1,0.5,1,1,0,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.0375,0.0125,0,0,0.08,0.02,0.05,0.01,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0,0,0.075,0.0225,0.09,0.0225,0.0825,0.0225,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0566666666666667,0.0283333333333333,0.12,0.04,0.0375,0.0225,0.15,0.04,0.1,0.05,0.06,0.005,0.11,0,0.1,0.04,0,0,0.15,0.1,0.555,0.806666666666667,0.8275,0.735833333333333
"229","LY1021004042","2022-11-05","Homme","21","26","Libye","Niger","Satisafait","Souvent( au moins une fois la semaine)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Actifs reçus de l'OIM","Non","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Bien","Bien","Bien","Très bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non","Oui",NA,0.75,0.25,1,0.5,1,0.5,1,1,1,0.5,0.5,0.75,1,0.75,1,0.75,0.75,0.75,1,0.708333333333333,1,0.75,1,0.75,1,1,1,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.03,0.02,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.15,0.03,0.0566666666666667,0.0283333333333333,0.12,0.04,0.0375,0.0225,0.15,0.04,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.7575,0.759166666666667,0.9625,0.808333333333333
"230","CH5021X012294","2022-11-05","Femme","23","5","Tchad","Niger","Satisafait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Bétails Actifs reçus de l'OIM","Oui","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Très bien","Acceptable","Très bien","Très bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Tres bon - un très fort réseau","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en sécurité tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non","Oui",NA,0.75,0,1,0.75,1,0.25,0,1,0,0.5,0.5,0.75,1,0.75,1,1,0.5,1,1,0.75,1,1,1,1,0.75,1,0.75,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0,0,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0,0,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.06,0.03,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.15,0.1,0.49,0.8125,0.945,0.75
"231",NA,"2022-11-05","Homme","25","24","Tchad","Niger","Satisafait","Souvent( au moins une fois la semaine)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Bien","Oui","Terre Actifs reçus de l'OIM","Oui","Acceptable","Acceptable","Bien","Oui","Bien","Oui","Très bien","Bien","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non","Oui",NA,0.75,0.25,1,0.5,1,0.75,1,1,0,0.5,0.5,0.75,1,0.75,1,1,0.75,0.75,0.75,0.75,1,0.75,1,0.75,1,1,1,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.03,0.02,0.08,0.02,0.05,0.01,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0,0,0.05,0.015,0.06,0.015,0.0825,0.0225,0.07,0.02,0.09,0.03,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.06,0.03,0.12,0.04,0.0375,0.0225,0.15,0.04,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.66,0.725,0.9625,0.78
"232","LY1021004098","2022-11-05","Homme","22","28","Libye","Niger","Satisafait","Souvent( au moins une fois la semaine)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Actifs reçus de l'OIM","Non","Très bien","Acceptable","Bien","Oui","Très bien","Oui","Bien","Bien","Bien","Bien","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Bien","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens en sécurité la plupart du temps","Jamais","Jamais discriminé","Jamais","Non","Oui",NA,0.75,0.25,1,0.75,1,0.5,1,1,1,1,0.5,0.75,1,1,1,0.75,0.75,0.75,0.75,0.833333333333333,1,0.75,1,0.75,1,1,1,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.03,0.02,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.06,0.015,0.0825,0.0225,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.15,0.045,0.1125,0.0225,0.0666666666666667,0.0333333333333333,0.12,0.04,0.0375,0.0225,0.15,0.04,0.075,0.0375,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.7825,0.811666666666667,0.9625,0.835833333333333
"233","NE1022001349","2022-11-05","Homme","26","3","Niger","Tchad","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Aucun actif détenu","Non","Acceptable","Acceptable","Faible","Non - quelques uns mais pas tous","Acceptable","Oui","Acceptable","Acceptable","Faible","Faible","Rarement( Une fois le mois ou pas tous les mois)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non","Oui",NA,0.75,0.75,1,0.75,1,0.25,0,0,1,0.5,0.5,0.25,0.5,0.5,1,0.5,0.5,0.25,0.25,0.416666666666667,0.25,0.5,1,0,0.75,1,0.75,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0,0,0.13,0.03,0.05,0.015,0.06,0.015,0.0275,0.0075,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.05,0.015,0.0375,0.0075,0.0333333333333333,0.0166666666666667,0.03,0.01,0.025,0.015,0.15,0.04,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.15,0.1,0.6,0.403333333333333,0.73,0.599166666666667
"234","NE1022001351","2022-11-05","Homme","31","2","Niger","Tchad","Très insatisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Aucun actif détenu","Non","Acceptable","Acceptable","Faible","Non - quelques uns mais pas tous","Faible","Oui","Acceptable","Acceptable","Faible","Faible","Souvent( au moins une fois la semaine)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non","Oui",NA,0,0.5,1,0.75,1,0.25,0,0,1,0.5,0.5,0.25,0.5,0.25,1,0.5,0.5,0.25,0.25,0.375,0.75,0.5,1,0,0.75,1,0.75,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0,0,0.06,0.04,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0,0,0.13,0.03,0.05,0.015,0.06,0.015,0.0275,0.0075,0.035,0.01,0.03,0.01,0.05,0.05,0,0,0,0,0.05,0.015,0.0375,0.0075,0.03,0.015,0.09,0.03,0.025,0.015,0.15,0.04,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.15,0.1,0.4575,0.37,0.79,0.55
"235","NE1022001353","2022-11-05","Homme","23","1","Niger","Tchad","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Aucun actif détenu","Non","Acceptable","Acceptable","Faible","Non - quelques uns mais pas tous","Acceptable","Oui","Bien","Acceptable","Faible","Faible","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Jamais discriminé","Souvent( au moins une fois la semaine)","Non","Oui",NA,0.75,0.75,1,0.75,1,0.25,0,0,1,0.5,0.5,0.25,0.5,0.5,1,0.75,0.5,0.25,0.25,0.458333333333333,1,0.5,1,0,0,1,0.25,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0,0,0.13,0.03,0.05,0.015,0.06,0.015,0.0275,0.0075,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.05,0.015,0.0375,0.0075,0.0366666666666667,0.0183333333333333,0.12,0.04,0.025,0.015,0.15,0.04,0,0,0,0,0.11,0,0.025,0.01,0.1,0.03,0.15,0.1,0.6,0.406666666666667,0.68,0.603333333333333
"236","NE1022001355","2022-11-05","Homme","28","3","Niger","Tchad","Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Aucun actif détenu","Oui","Acceptable","Acceptable","Faible","Non - quelques uns mais pas tous","Acceptable","Oui","Bien","Bien","Acceptable","Acceptable","Souvent( au moins une fois la semaine)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non","Oui",NA,0.75,0.75,1,0.75,1,0.25,0,0,0,0.5,0.5,0.25,0.5,0.5,1,0.75,0.75,0.5,0.5,0.541666666666667,0.75,0.5,1,0,0.75,1,0.75,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0,0,0,0,0.05,0.015,0.06,0.015,0.0275,0.0075,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.0433333333333333,0.0216666666666667,0.09,0.03,0.025,0.015,0.15,0.04,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.15,0.1,0.47,0.500833333333333,0.79,0.616666666666667
"237","NE1022001356","2022-11-05","Homme","2","2","Niger","Tchad","Très satisfait","Des fois ( 2 ou 3 fois le mois)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Faible","Non","Aucun actif détenu","Oui","Acceptable","Acceptable","Faible","Non - quelques uns mais pas tous","Acceptable","Oui","Acceptable","Acceptable","Acceptable","Acceptable","Rarement( Une fois le mois ou pas tous les mois)","Correct","Je suis d'accord - je sens fortement que je fais partie de la communauté","Je me sens très en danger tout le temps","Rarement( Une fois le mois ou pas tous les mois)","Jamais discriminé","Rarement( Une fois le mois ou pas tous les mois)","Non","Oui",NA,1,0.5,1,0.5,1,0.25,0,0,0,0.5,0.5,0.25,0.5,0.5,1,0.5,0.5,0.5,0.5,0.458333333333333,0.25,0.5,1,0,0.75,1,0.75,1,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1,0.03,0.12,0.03,0.11,0.03,0.07,0.02,0.12,0.04,0.05,0.05,0,0,0,0,0.2,0.06,0.15,0.03,0.08,0.04,0.12,0.04,0.05,0.03,0.15,0.04,0.1,0.05,0.12,0.01,0.11,0,0.1,0.04,0.1,0.03,0.15,0.1,0.15,0.05,0.06,0.04,0.08,0.02,0.05,0.01,0.08,0.04,0.0325,0.0075,0,0,0,0,0,0,0.05,0.015,0.06,0.015,0.0275,0.0075,0.035,0.01,0.06,0.02,0.05,0.05,0,0,0,0,0.1,0.03,0.075,0.015,0.0366666666666667,0.0183333333333333,0.03,0.01,0.025,0.015,0.15,0.04,0,0,0.09,0.0075,0.11,0,0.075,0.03,0.1,0.03,0.15,0.1,0.4525,0.494166666666667,0.73,0.580833333333333
