"BusinessSuccess","InterviewType","Country","CountryOfReturn","Gender","AgeGroup","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","Count"
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Autre","1+","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi et d'autres","Oui","Autre","1","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi et d'autres","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","14-35","Oui","En espèces","Commerce","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Algerie","Masculin","36+","Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Autre","1","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Autre","Féminin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Autre","Féminin","14-35","Non","En nature","Autre","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Autre","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Autre","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Autre","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Autre","Masculin","14-35","Non","En nature","Autre","Moi et d'autres","Oui","Autre","1+","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Lybie","Masculin","14-35","Non","En espèces","Transport","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Lybie","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Lybie","Masculin","14-35","Oui","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Non",1
"High","Par téléphone","Côte D'Ivoire","Lybie","Masculin","14-35","Oui","En nature","Autre","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Lybie","Masculin","36+","Non","En espèces","Transport","Moi uniquement","Non","Autre","1+","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Féminin","14-35","Non","En espèces","Autre","Moi et d'autres","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Féminin","14-35","Non","En espèces","Autre","Moi et d'autres","Oui","Autre","1+","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Féminin","14-35","Non","En espèces","Autre","Moi uniquement","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Féminin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Féminin","14-35","Oui","En espèces","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Féminin","36+","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Féminin","36+","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Commerce","Moi et d'autres","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En espèces","Elevage","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","36+","Non","En espèces","Autre","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","36+","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","36+","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Maroc","Masculin","36+","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Niger","Féminin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Niger","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Niger","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Niger","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Côte D'Ivoire","Niger","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Niger","Masculin","14-35","Non","En nature","Elevage","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Côte D'Ivoire","Niger","Masculin","14-35","Non","Mixte","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Ghana","Autre","Masculin","36+","Non","En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Ghana","Lybie","Féminin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Féminin","36+","Oui","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Féminin","36+","Oui","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Autre","Moi et d'autres","Non","Non","0","Non","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Non",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Autre","1+","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Oui","En nature","Autre","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","14-35","Oui","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","36+","Non","En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","36+","Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Oui","Non",1
"High","Par téléphone","Ghana","Lybie","Masculin","36+","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Lybie","Masculin","36+","Oui","En nature","Commerce","Moi uniquement","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Ghana","Niger","Féminin","36+","Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","14-35","Non","En nature","Elevage","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","36+","Non","En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","36+","Non","En nature","Autre","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","36+","Non","En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Ghana","Niger","Masculin","36+","Non","En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Guinée","Algerie","Féminin","14-35","Oui","Mixte","Commerce","Moi uniquement","Non","Non","0","Oui","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi et d'autres","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi et d'autres","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi et d'autres","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Autre","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi et d'autres","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Autre","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Non",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Transport","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En espèces","Transport","Moi uniquement","Oui","Autre","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En nature","Autre","Moi et d'autres","Oui","Autre","0","Non","Non",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En nature","Elevage","Moi et d'autres","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","En nature","Transport","Moi et d'autres","Oui","Autre","1","Non","Non",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","Mixte","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","Mixte","Autre","Moi et d'autres","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","Mixte","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Non","Mixte","Transport","Moi uniquement","Oui","Non","0","Non","Non",1
"High","Par téléphone","Guinée","Algerie","Masculin","14-35","Oui","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Algerie","Masculin","36+","Non","En espèces","Autre","Moi et d'autres","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Autre","Féminin","36+","Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Autre","Masculin","14-35","Non","En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Autre","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Féminin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Autre","1+","Oui","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Autre","0","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Non",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","En espèces","Transport","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","En nature","Autre","Moi uniquement","Oui","Autre","1+","Oui","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","En nature","Elevage","Moi uniquement","Oui","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","Mixte","Transport","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","14-35","Non","Mixte","Transport","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","36+","Non","En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Lybie","Masculin","36+","Non","En nature","Autre","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Maroc","Masculin","14-35","Non","En espèces","Autre","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Maroc","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Maroc","Masculin","14-35","Non","En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Maroc","Masculin","14-35","Non","Mixte","Commerce","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Maroc","Masculin","14-35","Non","Mixte","Transport","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En espèces","Elevage","Moi et d'autres","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En espèces","Elevage","Moi et d'autres","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En espèces","Transport","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Agriculture/aviculture","Moi uniquement","Non","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Autre","Moi uniquement","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Commerce","Moi et d'autres","Oui","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Autre","1","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Commerce","Moi uniquement","Oui","Non","0","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Elevage","Moi et d'autres","Non","Autre","1+","Non","Oui",1
"High","Par téléphone","Guinée","Niger","Masculin","14-35","Non","En nature","Transport","Moi et d'autres","Non","Autre","1","Non","Oui",1
