"ID_1","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","MicroBusinessLevel","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","ReturnToReintegration","AssistanceDuration"
"NE1019X027816","2021-04-15","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/07/18 00:00:00","2018-07-20",2,999.9166666666666
"LY1020004197","2021-04-16","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Oui","En nature","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/20 00:00:00","2020-11-26",98,140.91666666666666
"NE1021001206","2021-07-07","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Fermée","Oui","Non","Pire","Oui","Satisfait","Tchad","Algerie","Masculin","18-35 ans","12","Non","En nature","Autre","Moi avec des migrants de retour","Non","Non",NA,"Non","Non","Collective","NULL","NULL","2021/03/12 00:00:00","2021-05-10",59,57.916666666666664
"NE1019X041068","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","OK","Ghana","Niger","Masculin","18-35 ans","0","Non","En nature","Bâtiment/construction","Moi uniquement","Non","Oui","1","Oui Négativement","Oui","Collective","NULL","NULL","2019/07/24 00:00:00","2021-08-19",757,-124.08333333333333
"NE1019X064703","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Partiellement","Satisfait","Ghana","Algerie","Masculin","18-35 ans","0","Non","En nature","Bâtiment/construction","Moi uniquement","Oui","Oui","3","Oui Positivement","Oui","Collective","NULL","NULL","2019/09/18 00:00:00","2021-08-19",701,-124.08333333333333
"NE1019X029757","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","0","Non","En nature","Artisan-Ouvrier","Moi uniquement","Non","Oui","4 et plus","Oui Négativement","Oui","Individual","NULL","NULL","2019/03/13 00:00:00","2019-06-21",100,665.9166666666666
"CH5018X0008555","2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans",NA,"Oui","En nature","Artisan-Ouvrier","Moi uniquement","Non","Oui","1","Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA
NA,"2021-04-17","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Oui régulièrement","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Coiffure","Moi uniquement","Non","Oui","1","Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA
"LY1018004053","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/10/24 00:00:00","2019-11-30",402,487.9166666666667
"LY1018003661","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","5","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Non","Collective","NULL","NULL","2018/10/24 00:00:00","2019-11-30",402,487.9166666666667
"LY1018004055","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/10/24 00:00:00","2019-11-30",402,487.9166666666667
"NE1019X021151X1","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36-65 ans","2","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","NULL","NULL","NULL","2018/05/18 00:00:00","2018-06-25",38,1010.9166666666666
"NE1019X021151X2","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","36-65 ans","2","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","NULL","NULL","NULL","2018/05/18 00:00:00","2018-06-25",38,1010.9166666666666
"CH5017X019519","2021-04-19","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Oui","2","Oui Négativement","Oui","Individual","NULL","NULL","2017/07/27 00:00:00","2021-08-31",1496,-134.08333333333334
"NE1019X066729","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/10/09 00:00:00","2020-04-01",175,364.9166666666667
"NE1019X028010","2021-04-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans","1","Non","En nature","Couture","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/10/23 00:00:00","2020-05-14",569,321.9166666666667
"CH5017X032499","2021-04-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Bâtiment/construction","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2020-02-02",795,424.9166666666667
"GHTH08485","2021-04-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","6","Non","En nature","Bâtiment/construction","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA
"CH5017X032550","2021-04-05","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","6","Non","En nature","Bâtiment/construction","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2020-02-02",795,427.9166666666667
"LY1020004376","2021-04-20","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Transport (Moto - Auto et autres)","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/20 00:00:00","2021-01-21",154,88.91666666666667
"CH5017X032467","2021-04-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2019-08-01",610,609.9166666666666
"CH5018X008525","2021-04-05","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","2","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2019-08-01",506,612.9166666666666
"CH5017X032505","2021-04-05","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","2","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2019-08-01",610,612.9166666666666
"CH5017X032541","2021-04-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Oui","1","Oui Négativement","Oui","NULL","NULL","NULL","2017/11/29 00:00:00",NA,NA,NA
"CH5017X032477","2021-04-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Oui","1","Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2021-07-01",1310,-86.08333333333333
"CH5017X032540","2021-04-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Oui","1","Oui Négativement","Oui","NULL","NULL","NULL","2017/11/29 00:00:00",NA,NA,NA
"NE1020X003751X1","2021-07-23","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Mon entreprise n’est pas encore ouverte","Souhaite ne pas répondre","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans","1","Non","Mixte","Mécanique","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/01/21 00:00:00","2020-12-02",316,232.91666666666666
"NE1019001331","2021-05-20","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2019/02/13 00:00:00","2021-09-10",940,-113.08333333333333
"NE1019X001403","2021-05-20","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Mieux","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Non","Collective","NULL","NULL","2019/01/23 00:00:00","2021-09-10",961,-113.08333333333333
"NE1019X018102X1","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Collective","Non spécifié","1","2018/02/17 00:00:00","2019-01-21",338,856.9166666666666
"CH5017X008663","2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Non","Non","Identique","Non","Pas satisfait","Burkina Faso","Lybie","Masculin","36-65 ans","2","Non","En nature","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","Vocational training","3","2017/04/19 00:00:00","2020-12-08",1329,170.91666666666666
"NE1019X03921010X1","2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Non","Non","Identique","Non","Pas du tout satisfait","Burkina Faso","Algerie","Masculin","18-35 ans","0","Oui","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Non","Non",NA,NA,NA,NA,NA,NA,NA
"CH5018X008599","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","5","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2021-09-15",1282,-106.08333333333333
"CH5018X008598","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2020-12-10",1003,172.91666666666666
"CH5018X008597","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2020-12-10",1003,172.91666666666666
"CH5018X008596","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Mieux","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2020-12-10",1003,172.91666666666666
"MA1020003407","2021-05-25","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans","4","Non","En espèces","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/10/22 00:00:00","2020-12-31",70,144.91666666666666
"TN1020001021","2021-05-25","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Non","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Tunisie","Féminin","18-35 ans","3","Non","En espèces","Aviculture","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2020/01/16 00:00:00","2021-01-28",378,116.91666666666667
"TN1019001296","2021-05-25","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Tunisie","Féminin","18-35 ans",NA,"Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/06/13 00:00:00","2020-07-28",411,300.9166666666667
"NF1019X028910","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","36-65 ans","2","Non","En nature","Coiffure","Moi uniquement","Non","Non",NA,"Non","Oui",NA,NA,NA,NA,NA,NA,NA
"NE1020X01594","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","0","Non","En espèces","Commerce","Moi uniquement","Non","Oui","1","Non","Oui",NA,NA,NA,NA,NA,NA,NA
"MA1019002459","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","0","Non","En espèces","Commerce","Moi et membres de la communauté","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/12/06 00:00:00","2021-03-29",479,58.916666666666664
"CH5020X005170","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","5","Non","En espèces","Transport (Moto - Auto et autres)","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2020/08/27 00:00:00","2021-03-02",187,85.91666666666667
"NE1019X061360","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Oui régulièrement","Pire","Non","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","2","Non","En espèces","Transport (Moto - Auto et autres)","Moi uniquement","Non","Non",NA,"Non","Souhaite ne pas répondre","Individual","NULL","NULL","2019/08/21 00:00:00","2020-08-06",351,293.9166666666667
"DZ1020001804","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","4","Non","En espèces","Mécanique","Moi uniquement","Non","Oui","2","Non","Oui","Individual","NULL","NULL","2020/08/31 00:00:00","2021-02-09",162,106.91666666666667
"MA1020003024","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","2","Non","En espèces","Transport (Moto - Auto et autres)","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/09/24 00:00:00","2020-12-21",88,156.91666666666666
"TN1019001676","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Tunisie","Féminin","18-35 ans","2","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/01/06 00:00:00","2020-05-22",137,369.9166666666667
"MA109001738","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Fermée","Souhaite ne pas répondre","Non","Souhaite ne pas répondre","Souhaite ne pas répondre","Souhaite ne pas répondre","Côte D'Ivoire","Maroc","Masculin","36-65 ans","13","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Souhaite ne pas répondre",NA,NA,NA,NA,NA,NA,NA
"CH5020X005117","2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Oui régulièrement","Pire","Oui","OK","Côte D'Ivoire","Maroc","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/27 00:00:00","2022-05-06",617,-343.0833333333333
NA,"2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Oui régulièrement","Pire","Non","Satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Oui","1","Non","Oui",NA,NA,NA,NA,NA,NA,NA
"NE1019X000162","2021-05-29","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Non","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","1","Non","En espèces","Elevage","Moi avec des migrants de retour et des membres d’une communauté","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2019/01/07 00:00:00","2021-02-09",764,108.91666666666667
"TN1018001494","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Autre","Non","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Tunisie","Féminin","36-65 ans","5","Non","En espèces","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/09/04 00:00:00","2021-03-17",925,73.91666666666667
"NE1020X021378","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","3","Non","En espèces","Couture","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/12/02 00:00:00","2021-03-19",107,71.91666666666667
"NE1020X003170","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Fermée","Souhaite ne pas répondre","Non","Identique","Oui","OK","Côte D'Ivoire","Niger","Masculin","36-65 ans","3","Non","En espèces","Aviculture","Moi uniquement","Non","Souhaite ne pas répondre",NA,"Non","Oui","Individual","NULL","NULL","2020/01/22 00:00:00","2020-06-11",141,352.9166666666667
"ML1019X004534","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)",NA,NA,"Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mali","Masculin","18-35 ans","0","Non","En espèces",NA,NA,NA,NA,NA,NA,"Oui","Individual","NULL","NULL","2019/04/13 00:00:00","2020-07-24",468,309.9166666666667
"CH5018X021549","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans","2","Non","En espèces","Couture","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2018/07/10 00:00:00","2021-03-25",989,65.91666666666667
"NE1019001195","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Autre","Non","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-17 ans","3","Non","En espèces","Artisan-Ouvrier","Moi uniquement","Oui","Non",NA,"Non","Oui","NULL","Vocational training","75","2019/02/05 00:00:00","2021-02-13",739,105.91666666666667
"MA1020003635","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/12/31 00:00:00","2021-03-20",79,70.91666666666667
"ML1020003717","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mali","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/10/27 00:00:00","2021-01-28",93,121.91666666666667
"NE1019X001268","2021-05-31","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","0","Non","En espèces","Aviculture","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/01/18 00:00:00","2021-01-29",742,121.91666666666667
"TN1019001597","2021-05-31","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Tunisie","Féminin","36-65 ans","10","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Oui","Community","NULL","NULL","2019/10/29 00:00:00","2020-09-24",331,248.91666666666666
