"ID_1","InterviewDate","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","MicroBusinessLevel","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","Gender_Mimosa","AgeAtReferral_Mimosa","ReturnToReintegration"
"CH5017X032505","2021-04-05","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","2","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2019-08-01","Male",26,610
"CH5017X032541","2021-04-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Oui","1","Oui Négativement","Oui","NULL","NULL","NULL","2017/11/29 00:00:00",NA,"Male",33,NA
"CH5017X032477","2021-04-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Oui","1","Oui Négativement","Oui","Collective","NULL","NULL","2017/11/29 00:00:00","2021-07-01","Male",22,1310
"CH5017X032540","2021-04-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Mécanique","Moi avec des migrants de retour","Non","Oui","1","Oui Négativement","Oui","NULL","NULL","NULL","2017/11/29 00:00:00",NA,"Male",31,NA
"NE1020X003751X1","2021-07-23","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Mon entreprise n’est pas encore ouverte","Souhaite ne pas répondre","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans","1","Non","Mixte","Mécanique","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/01/21 00:00:00","2020-12-02","Male",31,316
"NE1019001331","2021-05-20","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2019/02/13 00:00:00","2021-09-10","Male",33,940
"NE1019X001403","2021-05-20","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Mieux","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Non","Collective","NULL","NULL","2019/01/23 00:00:00","2021-09-10","Male",32,961
"NE1019X018102X1","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Collective","Non spécifié","1","2018/02/17 00:00:00","2019-01-21","Male",29,338
"CH5017X008663","2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Non","Non","Identique","Non","Pas satisfait","Burkina Faso","Lybie","Masculin","36-65 ans","2","Non","En nature","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","Vocational training","3","2017/04/19 00:00:00","2020-12-08","Male",32,1329
"NE1019X03921010X1","2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Non","Non","Identique","Non","Pas du tout satisfait","Burkina Faso","Algerie","Masculin","18-35 ans","0","Oui","En nature","Elevage","Moi uniquement","Oui","Non",NA,"Non","Non",NA,NA,NA,NA,NA,NA,NA,NA
"CH5018X008599","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans","5","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2021-09-15","Male",27,1282
"CH5018X008598","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2020-12-10","Male",28,1003
"CH5018X008597","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans","4","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2020-12-10","Male",35,1003
"CH5018X008596","2021-06-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Mieux","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans","4","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Oui","1","Non","Oui","Collective","NULL","NULL","2018/03/13 00:00:00","2020-12-10","Male",29,1003
"MA1020003407","2021-05-25","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans","4","Non","En espèces","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/10/22 00:00:00","2020-12-31","Female",31,70
"TN1020001021","2021-05-25","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Non","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Tunisie","Féminin","18-35 ans","3","Non","En espèces","Aviculture","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2020/01/16 00:00:00","2021-01-28","Female",31,378
"TN1019001296","2021-05-25","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Tunisie","Féminin","18-35 ans",NA,"Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/06/13 00:00:00","2020-07-28","Female",20,411
"NF1019X028910","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","36-65 ans","2","Non","En nature","Coiffure","Moi uniquement","Non","Non",NA,"Non","Oui",NA,NA,NA,NA,NA,NA,NA,NA
"NE1020X01594","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","0","Non","En espèces","Commerce","Moi uniquement","Non","Oui","1","Non","Oui",NA,NA,NA,NA,NA,NA,NA,NA
"MA1019002459","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","0","Non","En espèces","Commerce","Moi et membres de la communauté","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/12/06 00:00:00","2021-03-29","Male",25,479
"CH5020X005170","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","5","Non","En espèces","Transport (Moto - Auto et autres)","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2020/08/27 00:00:00","2021-03-02","Male",21,187
"NE1019X061360","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Oui régulièrement","Pire","Non","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","2","Non","En espèces","Transport (Moto - Auto et autres)","Moi uniquement","Non","Non",NA,"Non","Souhaite ne pas répondre","Individual","NULL","NULL","2019/08/21 00:00:00","2020-08-06","Male",24,351
"DZ1020001804","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","4","Non","En espèces","Mécanique","Moi uniquement","Non","Oui","2","Non","Oui","Individual","NULL","NULL","2020/08/31 00:00:00","2021-02-09","Male",21,162
"MA1020003024","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","2","Non","En espèces","Transport (Moto - Auto et autres)","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/09/24 00:00:00","2020-12-21","Male",31,88
"TN1019001676","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Tunisie","Féminin","18-35 ans","2","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/01/06 00:00:00","2020-05-22","Female",30,137
"MA109001738","2021-05-27","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Fermée","Souhaite ne pas répondre","Non","Souhaite ne pas répondre","Souhaite ne pas répondre","Souhaite ne pas répondre","Côte D'Ivoire","Maroc","Masculin","36-65 ans","13","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Souhaite ne pas répondre",NA,NA,NA,NA,NA,NA,NA,NA
"CH5020X005117","2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Oui régulièrement","Pire","Oui","OK","Côte D'Ivoire","Maroc","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/08/27 00:00:00","2022-05-06","Male",22,617
NA,"2021-05-28","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Oui régulièrement","Pire","Non","Satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Oui","1","Non","Oui",NA,NA,NA,NA,NA,NA,NA,NA
"NE1019X000162","2021-05-29","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Non","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","1","Non","En espèces","Elevage","Moi avec des migrants de retour et des membres d’une communauté","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2019/01/07 00:00:00","2021-02-09","Male",29,764
"TN1018001494","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Autre","Non","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Tunisie","Féminin","36-65 ans","5","Non","En espèces","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/09/04 00:00:00","2021-03-17","Female",47,925
"NE1020X021378","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","3","Non","En espèces","Couture","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/12/02 00:00:00","2021-03-19","Male",24,107
"NE1020X003170","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Fermée","Souhaite ne pas répondre","Non","Identique","Oui","OK","Côte D'Ivoire","Niger","Masculin","36-65 ans","3","Non","En espèces","Aviculture","Moi uniquement","Non","Souhaite ne pas répondre",NA,"Non","Oui","Individual","NULL","NULL","2020/01/22 00:00:00","2020-06-11","Male",48,141
"ML1019X004534","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)",NA,NA,"Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mali","Masculin","18-35 ans","0","Non","En espèces",NA,NA,NA,NA,NA,NA,"Oui","Individual","NULL","NULL","2019/04/13 00:00:00","2020-07-24","Male",30,468
"CH5018X021549","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans","2","Non","En espèces","Couture","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2018/07/10 00:00:00","2021-03-25","Male",26,989
"NE1019001195","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Autre","Non","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-17 ans","3","Non","En espèces","Artisan-Ouvrier","Moi uniquement","Oui","Non",NA,"Non","Oui","NULL","Vocational training","75","2019/02/05 00:00:00","2021-02-13","Male",15,739
"MA1020003635","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/12/31 00:00:00","2021-03-20","Male",21,79
"ML1020003717","2021-05-30","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mali","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/10/27 00:00:00","2021-01-28","Male",27,93
"NE1019X001268","2021-05-31","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","0","Non","En espèces","Aviculture","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/01/18 00:00:00","2021-01-29","Male",22,742
"TN1019001597","2021-05-31","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Tunisie","Féminin","36-65 ans","10","Non","En espèces","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Oui","Community","NULL","NULL","2019/10/29 00:00:00","2020-09-24","Female",44,331
"NE1020X001331","2021-05-31","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","2","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/01/15 00:00:00","2020-10-10","Male",32,269
