"Project","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TimeToReceiveSupport","ReceivedSupportAs","AssistanceType","BusinessType","BusinessMembers","MicroBusinessLevel","SupportTotalValue","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans",NA,"Oui",NA,52,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement",NA,5900,"Non","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Oui régulièrement","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans",4,"Non",NA,16,"En nature","Micro Business","Coiffure - Salon de beauté","Moi uniquement",NA,9000,"Non","Oui","1","Oui Négativement"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans",4,"Non",NA,86,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans",5,"Non",NA,86,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",3,"Non",NA,86,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36-65 ans",2,"Non",NA,86,"En nature","Micro Business","Commerce","Moi avec des migrants de retour",NA,NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","36-65 ans",2,"Non",NA,86,"En nature","Micro Business","Commerce","Moi avec des migrants de retour",NA,NA,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",1,"Non",NA,108,"En nature","Micro Business","Autre","Moi uniquement","Individual",3500,"Non","Oui","2","Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",1,"Non",NA,26,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",1,"Non",NA,90,"En nature","Micro Business","Couture","Moi uniquement","Individual",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",4,"Non",NA,150,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",6,"Non",NA,120,"En nature","Micro Business","Bâtiment/construction","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",6,"Non",NA,120,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",4,"Non",NA,16,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",8600,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",3,"Non",NA,160,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",17095,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",2,"Non",NA,90,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",17095,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",2,"Non",NA,108,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",17095,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",4,"Non",NA,107,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour",NA,15480,"Non","Oui","1","Oui Négativement"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",3,"Non",NA,109,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",15480,"Non","Oui","1","Oui Négativement"
"JI","Par téléphone","High","High","Non","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",4,"Non",NA,102,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour",NA,15480,"Non","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",1,"Non",NA,36,"Mixte","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",650000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans",3,"Non",NA,50,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Mieux","Oui","Satisfait","Ghana","Niger","Masculin","18-35 ans",3,"Non",NA,52,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","36-65 ans",8,"Oui",NA,70,"En nature","Micro Business","Coiffure - Salon de beauté","Moi uniquement","Individual",NA,"Non","Oui","1","Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Burkina Faso","Niger","Masculin","18-35 ans",0,"Non","Non spécifié",24,"En nature","Micro Business","Elevage","Moi uniquement","Collective",NA,"Oui","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Non","Pas satisfait","Burkina Faso","Lybie","Masculin","36-65 ans",2,"Non","Vocational training",208,"En nature","Micro Business","Elevage","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Non","Pas du tout satisfait","Burkina Faso","Algerie","Masculin","18-35 ans",0,"Oui",NA,29,"En nature","Micro Business","Elevage","Moi uniquement",NA,200000,"Oui","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",5,"Non",NA,132,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Collective",39900,"Non","Oui","1","Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",4,"Non",NA,132,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Collective",13900,"Non","Oui","1","Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans",4,"Non",NA,132,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Collective",8475,"Non","Oui","1","Non"
"JI","Par téléphone","High","Low","Non","Mieux","Oui","Satisfait","Ghana","Lybie","Masculin","18-35 ans",4,"Non",NA,132,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Collective",8475,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans",4,"Non",NA,4,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",650000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","18-35 ans",3,"Non",NA,40,"En espèces","Micro Business","Elevage","Moi uniquement","Individual",600000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","18-35 ans",NA,"Non",NA,18,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",1200000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","36-65 ans",2,"Non",NA,60,"En nature","Micro Business","Coiffure - Salon de beauté","Moi uniquement",NA,700000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",0,"Non",NA,32,"En espèces","Micro Business","Commerce","Moi uniquement",NA,600000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",0,"Non",NA,41,"En espèces","Micro Business","Commerce","Moi et membres de la communauté","Individual",565000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",5,"Non",NA,36,"En espèces","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",500000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Oui régulièrement","Pire","Non","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",2,"Non",NA,40,"En espèces","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",590000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",4,"Non",NA,22,"En espèces","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",500000,"Non","Oui","2","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",2,"Non",NA,28,"En espèces","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","18-35 ans",2,"Non",NA,38,"En espèces","Micro Business","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Souhaite ne pas répondre","Souhaite ne pas répondre","Souhaite ne pas répondre","Côte D'Ivoire","Maroc","Masculin","36-65 ans",13,"Non",NA,32,"En espèces","Micro Business","Commerce","Moi uniquement",NA,600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Oui régulièrement","Pire","Oui","OK","Côte D'Ivoire","Maroc","Masculin","18-35 ans",1,"Non",NA,32,"En espèces","Micro Business","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Individual",300000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Oui régulièrement","Pire","Non","Satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",1,"Non",NA,54,"En espèces","Micro Business","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Individual",600000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",1,"Non",NA,62,"En espèces","Micro Business","Elevage","Moi avec des migrants de retour et des membres d’une communauté","Individual",500000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","36-65 ans",5,"Non",NA,68,"En espèces","Micro Business","Elevage","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",3,"Non",NA,36,"En espèces","Micro Business","Couture","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Identique","Oui","OK","Côte D'Ivoire","Niger","Masculin","36-65 ans",3,"Non",NA,48,"En espèces","Micro Business","Agriculture","Moi uniquement","Individual",600000,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",2,"Non",NA,65,"En espèces","Micro Business","Couture","Moi uniquement","Individual",625000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-17 ans",3,"Non","Vocational training",62,"En espèces","Micro Business","Artisan-Ouvrier","Moi uniquement",NA,600000,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",1,"Non",NA,NA,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mali","Masculin","18-35 ans",1,"Non",NA,40,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",0,"Non",NA,60,"En espèces","Micro Business","Aviculture","Moi uniquement","Individual",615000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","36-65 ans",10,"Non",NA,54,"En espèces","Micro Business","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Community",1050000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",2,"Non",NA,40,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",3,"Non",NA,16,"En espèces","Micro Business","Elevage","Moi uniquement","Individual",500000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans",3,"Non",NA,64,"En espèces","Micro Business","Coiffure - Salon de beauté","Moi uniquement","Individual",615000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",2,"Non",NA,18,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",0,"Non",NA,32,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","36-65 ans",0,"Non",NA,38,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans",NA,"Non",NA,48,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",NA,"Non",NA,4,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",2,"Non",NA,24,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",9866,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",1,"Non",NA,96,"En nature","Micro Business","Commerce","Moi uniquement","Individual",9660,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",0,"Non",NA,64,"En nature","Micro Business","Commerce","Moi uniquement","Individual",9000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","18-35 ans",11,"Non",NA,80,"En nature","Micro Business","Commerce","Moi uniquement","Individual",9124,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Gambie","Lybie","Masculin","18-35 ans",2,"Non",NA,32,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",9639,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",2,"Non",NA,6,"En nature","Micro Business","Elevage","Moi uniquement",NA,10767,"Oui","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",4,"Non",NA,144,"En nature","Micro Business","Commerce","Moi uniquement","Individual",5432,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Mali","Masculin","36-65 ans",8,"Non",NA,12,"En nature","Micro Business","Agriculture","Moi uniquement",NA,9600,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",2,"Non",NA,16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",9866,"Non","Oui","1","Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",2,"Non",NA,24,"En nature","Micro Business","Elevage","Moi uniquement","Individual",7000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36-65 ans",0,"Non",NA,96,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",1082,"Oui","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36-65 ans",5,"Non",NA,12,"En nature","Micro Business","Elevage","Moi uniquement","Individual",9500,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",0,"Non",NA,28,"En nature","Micro Business","Commerce","Moi uniquement","Individual",9425,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",14,"Non",NA,24,"En nature","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",8900,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36-65 ans",NA,"Non",NA,160,"En nature","Micro Business","Commerce","Moi uniquement","Individual",8690,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",NA,"Non",NA,72,"En nature","Micro Business","Agriculture","Moi uniquement","Collective",4200,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Non","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","18-35 ans",1,"Non",NA,192,"En nature","Micro Business","Elevage","Moi uniquement",NA,6280,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","18-35 ans",1,"Non",NA,24,"En nature","Micro Business","Coiffure - Salon de beauté","Moi uniquement","Individual",6000,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",NA,"Non",NA,144,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",5999,"Non","Oui","2","Oui Négativement"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","18-35 ans",4,"Non",NA,10,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600,"Non","Non",NA,"Non"
