"ID_1","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","ReturnToReintegration","AssistanceDuration"
"NE1019X027816","2021-04-15","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2018/07/18 00:00:00","2018-07-20",2,1000
"LY1020004197","2021-04-16","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/08/20 00:00:00","2020-11-26",98,141
"NE1021001206","2021-07-07","Terrain/bureau OIM","Low","High","No","Pire","Oui","Satisfait","Autre","Algerie","Masculin","14-35",12,"En nature","Autre","Moi et d'autres","Non","Non","0","Non","Non","None",0,"2021/03/12 00:00:00","2021-05-10",59,58
"NE1019X041068","2021-04-17","Terrain/bureau OIM","High","High","No","Pire","Oui","OK","Ghana","Niger","Masculin","14-35",0,"En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui","None",0,"2019/07/24 00:00:00","2021-08-19",757,112
"NE1019X064703","2021-04-17","Terrain/bureau OIM","High","High","No","Pire","Partiellement","Satisfait","Ghana","Algerie","Masculin","14-35",0,"En nature","Autre","Moi uniquement","Oui","Autre","1+","Oui","Oui","None",0,"2019/09/18 00:00:00","2021-08-19",701,112
"NE1019X029757","2021-04-17","Terrain/bureau OIM","Low","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui","None",0,"2019/03/13 00:00:00","2019-06-21",100,666
"CH5018X0008555","2021-04-17","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",2,"En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui","None",0,NA,NA,214,112
NA,"2021-04-17","Terrain/bureau OIM","Low","Low","Yes","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",4,"En nature","Autre","Moi uniquement","Non","Autre","1","Oui","Oui","None",0,NA,NA,214,112
"LY1018004053","2021-04-01","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",4,"En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2018/10/24 00:00:00","2019-11-30",402,488
"LY1018003661","2021-04-01","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",5,"En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Non","None",0,"2018/10/24 00:00:00","2019-11-30",402,488
"LY1018004055","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2018/10/24 00:00:00","2019-11-30",402,488
"NE1019X021151X1","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36+",2,"En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2018/05/18 00:00:00","2018-06-25",38,1011
"NE1019X021151X2","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","36+",2,"En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2018/05/18 00:00:00","2018-06-25",38,1011
"CH5017X019519","2021-04-19","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"En nature","Commerce","Moi uniquement","Non","Autre","1+","Oui","Oui","None",0,"2017/07/27 00:00:00","2021-08-31",1496,112
"NE1019X066729","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"En nature","Commerce","Moi uniquement","Non","Non","0","Oui","Oui","None",0,"2019/10/09 00:00:00","2020-04-01",175,365
"NE1019X028010","2021-04-01","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui","None",0,"2018/10/23 00:00:00","2020-05-14",569,322
"CH5017X032499","2021-04-02","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2017/11/29 00:00:00","2020-02-02",795,425
"GHTH08485","2021-04-02","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",6,"En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,NA,NA,214,112
"CH5017X032550","2021-04-05","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",6,"En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2017/11/29 00:00:00","2020-02-02",795,428
"LY1020004376","2021-04-20","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/08/20 00:00:00","2021-01-21",154,89
"CH5017X032467","2021-04-02","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2017/11/29 00:00:00","2019-08-01",610,610
"CH5018X008525","2021-04-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2018/03/13 00:00:00","2019-08-01",506,613
"CH5017X032505","2021-04-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",2,"En nature","Autre","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2017/11/29 00:00:00","2019-08-01",610,613
"CH5017X032541","2021-04-06","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",4,"En nature","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui","None",0,"2017/11/29 00:00:00",NA,214,112
"CH5017X032477","2021-04-06","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",3,"En nature","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui","None",0,"2017/11/29 00:00:00","2021-07-01",1310,112
"CH5017X032540","2021-04-06","Par téléphone","High","High","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",4,"En nature","Autre","Moi et d'autres","Non","Autre","1","Oui","Oui","None",0,"2017/11/29 00:00:00",NA,214,112
"NE1020X003751X1","2021-07-23","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Burkina Faso","Algerie","Masculin","14-35",1,"Mixte","Autre","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/01/21 00:00:00","2020-12-02",316,233
"NE1019001331","2021-05-20","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Ghana","Niger","Masculin","14-35",3,"En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Oui","None",0,"2019/02/13 00:00:00","2021-09-10",940,112
"NE1019X001403","2021-05-20","Terrain/bureau OIM","High","Low","No","Mieux","Oui","Satisfait","Ghana","Niger","Masculin","14-35",3,"En nature","Commerce","Moi et d'autres","Non","Non","0","Oui","Non","None",0,"2019/01/23 00:00:00","2021-09-10",961,112
"NE1019X018102X1","2021-05-27","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Burkina Faso","Niger","Masculin","14-35",0,"En nature","Elevage","Moi uniquement","Oui","Non","0","Oui","Oui","Other",1,"2018/02/17 00:00:00","2019-01-21",338,857
"CH5017X008663","2021-05-28","Terrain/bureau OIM","Low","Low","No","Identique","Non","Pas satisfait","Burkina Faso","Lybie","Masculin","36+",2,"En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui","Other",3,"2017/04/19 00:00:00","2020-12-08",1329,171
"NE1019X03921010X1","2021-05-28","Terrain/bureau OIM","Low","Low","No","Identique","Non","Pas du tout satisfait","Burkina Faso","Algerie","Masculin","14-35",0,"En nature","Elevage","Moi uniquement","Oui","Non","0","Non","Non","None",0,NA,NA,214,112
"CH5018X008599","2021-06-01","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",5,"En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui","None",0,"2018/03/13 00:00:00","2021-09-15",1282,112
"CH5018X008598","2021-06-01","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui","None",0,"2018/03/13 00:00:00","2020-12-10",1003,173
"CH5018X008597","2021-06-01","Par téléphone","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",4,"En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui","None",0,"2018/03/13 00:00:00","2020-12-10",1003,173
"CH5018X008596","2021-06-01","Par téléphone","High","Low","No","Mieux","Oui","Satisfait","Ghana","Lybie","Masculin","14-35",4,"En nature","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui","None",0,"2018/03/13 00:00:00","2020-12-10",1003,173
"MA1020003407","2021-05-25","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Féminin","14-35",4,"En espèces","Commerce","Moi uniquement","Oui","Non","0","Non","Oui","None",0,"2020/10/22 00:00:00","2020-12-31",70,145
"TN1020001021","2021-05-25","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","14-35",3,"En espèces","Agriculture/aviculture","Moi uniquement","Non","Autre","1","Non","Oui","None",0,"2020/01/16 00:00:00","2021-01-28",378,117
"TN1019001296","2021-05-25","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Autre","Féminin","14-35",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2019/06/13 00:00:00","2020-07-28",411,301
"NF1019X028910","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","36+",2,"En nature","Autre","Moi uniquement","Non","Non","0","Non","Oui","None",0,NA,NA,214,112
"NE1020X01594","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",0,"En espèces","Commerce","Moi uniquement","Non","Autre","1","Non","Oui","None",0,NA,NA,214,112
"MA1019002459","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",0,"En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui","None",0,"2019/12/06 00:00:00","2021-03-29",479,59
"CH5020X005170","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",5,"En espèces","Transport","Moi uniquement","Non","Autre","1","Non","Oui","None",0,"2020/08/27 00:00:00","2021-03-02",187,86
"DZ1020001804","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","14-35",4,"En espèces","Autre","Moi uniquement","Non","Autre","1+","Non","Oui","None",0,"2020/08/31 00:00:00","2021-02-09",162,107
"MA1020003024","2021-05-27","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",2,"En espèces","Transport","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/09/24 00:00:00","2020-12-21",88,157
"TN1019001676","2021-05-27","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","14-35",2,"En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui","None",0,"2020/01/06 00:00:00","2020-05-22",137,370
"CH5020X005117","2021-05-28","Terrain/bureau OIM","High","Low","Yes","Pire","Oui","OK","Côte D'Ivoire","Maroc","Masculin","14-35",1,"En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui","None",0,"2020/08/27 00:00:00","2022-05-06",617,112
NA,"2021-05-28","Terrain/bureau OIM","Low","Low","Yes","Pire","Non","Satisfait","Côte D'Ivoire","Niger","Masculin","14-35",1,"En espèces","Commerce","Moi et d'autres","Non","Autre","1","Non","Oui","None",0,NA,NA,214,112
"NE1019X000162","2021-05-29","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",1,"En espèces","Elevage","Moi et d'autres","Non","Autre","1","Non","Oui","None",0,"2019/01/07 00:00:00","2021-02-09",764,109
"TN1018001494","2021-05-30","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","36+",5,"En espèces","Elevage","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2018/09/04 00:00:00","2021-03-17",925,74
"NE1020X021378","2021-05-30","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",3,"En espèces","Autre","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/12/02 00:00:00","2021-03-19",107,72
"NE1020X003170","2021-05-30","Terrain/bureau OIM","Low","Low","No","Identique","Oui","OK","Côte D'Ivoire","Niger","Masculin","36+",3,"En espèces","Agriculture/aviculture","Moi uniquement","Non","Autre","0","Non","Oui","None",0,"2020/01/22 00:00:00","2020-06-11",141,353
"CH5018X021549","2021-05-30","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","14-35",2,"En espèces","Autre","Moi uniquement","Non","Autre","1","Non","Oui","None",0,"2018/07/10 00:00:00","2021-03-25",989,66
"NE1019001195","2021-05-30","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",3,"En espèces","Autre","Moi uniquement","Oui","Non","0","Non","Oui","Other",0,"2019/02/05 00:00:00","2021-02-13",739,106
"MA1020003635","2021-05-30","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",1,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/12/31 00:00:00","2021-03-20",79,71
"ML1020003717","2021-05-30","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","14-35",1,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/10/27 00:00:00","2021-01-28",93,122
"NE1019X001268","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",0,"En espèces","Agriculture/aviculture","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2019/01/18 00:00:00","2021-01-29",742,122
"TN1019001597","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","36+",10,"En espèces","Commerce","Moi et d'autres","Non","Non","0","Non","Oui","None",0,"2019/10/29 00:00:00","2020-09-24",331,249
"NE1020X001331","2021-05-31","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/01/15 00:00:00","2020-10-10",269,233
"MA1020003081","2021-05-31","Terrain/bureau OIM","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",3,"En espèces","Elevage","Moi uniquement","Non","Autre","1","Non","Oui","None",0,"2020/10/22 00:00:00","2020-12-31",70,151
"MA1020003321","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/10/08 00:00:00","2020-12-22",75,160
"NE1020X015786","2021-05-31","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","14-35",0,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/03/18 00:00:00","2020-06-03",77,362
"NE1020X012761","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","36+",0,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/03/04 00:00:00","2020-06-02",90,363
"MA1020003244","2021-05-31","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","14-35",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/10/08 00:00:00","2021-06-09",244,112
"DZ1020002616","2021-05-31","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","14-35",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/12/17 00:00:00","2021-02-25",70,95
"LY1020007575","2021-06-04","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/11/30 00:00:00","2021-03-31",121,65
"CH5019X030870","2021-06-08","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",1,"En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2019/09/12 00:00:00","2021-04-08",574,61
"NE1019X066159","2021-06-05","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",0,"En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2019/10/02 00:00:00","2021-03-29",544,68
"CH5019X030876","2021-06-07","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Féminin","14-35",11,"En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2019/09/12 00:00:00","2021-04-12",578,56
"LY1020004207","2021-06-06","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Autre","Lybie","Masculin","14-35",2,"En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/08/20 00:00:00","2021-04-12",235,55
"NE1019X003127","2021-06-09","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",2,"En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui","None",0,"2019/02/13 00:00:00","2021-04-05",782,65
"CH5017X019608","2021-06-07","Par téléphone","High","High","No","Mieux","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",4,"En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2017/07/27 00:00:00","2021-03-03",1315,96
"LY2010004157","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Autre","Masculin","36+",8,"En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui","None",0,NA,NA,214,112
"LY1020004217","2021-06-07","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"En nature","Autre","Moi uniquement","Non","Autre","1","Non","Oui","None",0,"2020/08/20 00:00:00","2021-03-02",194,97
"LY1018002858","2021-06-08","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",2,"En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2018/07/10 00:00:00","2021-04-22",1017,47
NA,"2021-06-09","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","36+",0,"En nature","Agriculture/aviculture","Moi uniquement","Oui","Non","0","Non","Oui","None",0,NA,NA,214,112
"LY1020004159","2021-06-09","Terrain/bureau OIM","High","Low","No","Pire","Oui","Satisfait","Ghana","Lybie","Masculin","36+",5,"En nature","Elevage","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/08/20 00:00:00","2020-12-17",119,174
"LY1020004371","2021-06-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",0,"En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/08/20 00:00:00","2021-05-26",279,10
"LY1020004286","2021-06-05","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",14,"En nature","Transport","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/08/20 00:00:00","2021-03-02",194,95
"LY1017002221","2021-06-09","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","36+",2,"En nature","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2017/09/06 00:00:00","2021-04-21",1323,49
"NE1019X037502","2021-06-10","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",2,"En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui","None",0,"2019/06/07 00:00:00","2020-03-03",270,464
"NE101X9X027822","2021-06-11","Terrain/bureau OIM","High","High","No","Pire","Oui","Très satisfait","Ghana","Niger","Masculin","14-35",1,"En nature","Elevage","Moi uniquement","Non","Autre","1","Non","Oui","None",0,NA,NA,214,112
"NE1019X067176","2021-06-11","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Niger","Féminin","14-35",1,"En nature","Autre","Moi uniquement","Non","Non","0","Oui","Oui","None",0,"2019/10/16 00:00:00","2020-03-05",141,463
"CH5018X012666","2021-06-11","Terrain/bureau OIM","High","Low","No","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","14-35",2,"En nature","Autre","Moi uniquement","Non","Autre","1+","Oui","Oui","None",0,"2018/05/15 00:00:00","2021-02-25",1017,106
"TN1020001938","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Féminin","14-35",4,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2021/01/17 00:00:00","2021-03-10",52,91
"CH5017X039666X1","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","36+",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2017/12/19 00:00:00","2021-03-09",1176,92
NA,"2021-06-09","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","36+",3,"En espèces","Autre","Moi uniquement","Non","Autre","1","Non","Oui","None",0,NA,NA,214,112
"DZ1020002637","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","14-35",6,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2020/12/17 00:00:00","2021-03-17",90,84
"SN1018245DB1BC066E","2021-06-09","Par téléphone","High","Low","Yes","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","14-35",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2018/12/27 00:00:00","2021-03-16",810,85
NA,"2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","36+",2,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,NA,NA,214,112
"MA1020002758","2021-06-09","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","14-35",2,"En espèces","Commerce","Moi uniquement","Non","Autre","1","Non","Oui","None",0,"2020/09/17 00:00:00","2021-03-15",179,86
"ML1019X003475X1","2021-06-09","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","14-35",4,"En espèces","Commerce","Moi uniquement","Non","Non","0","Non","Oui","None",0,"2018/05/23 00:00:00","2021-03-18",1030,83
